id;thread;interpretant;created_at;message;media;likes;dislikes;author_user
5121154841;8245038220;lg;2020-10-23 0:31:11;"Sanji tá puto pq agora ele é o numero 4 do Bando, hahahah. 
1 Luffy 
2 Zoro 
3 jimbe 
4 Sanji
5 Franky 
6 Brook 
7 Nico Robin 
8 Chopper 
9 Nami 
10 Ussop. 

E aceitem pq é a Verdade.

Quem discordar coloquem suas colocações só não vale xingar heim, Discorde educadamente. hahaha";;82;36;fbiojosmesquita
5121155789;8245038220;em;2020-10-23 0:32:15;Hum, interessante;;4;1;Esqueletoso
5121170857;8245038220;en;2020-10-23 0:48:14;os ventos levaram o braço da neve persistente... *chorando* poético, né? mas bem triste... agora, resta esperar pelo capítulo amanhã com minha querida Mama brilhando no site da opex. Cabe ao mr 27 sabotar o lançamento da próxima semana pra deixá-la duas semanas aqui :');;36;1;disqus_TCiyec2JS6
5121220780;8245038220;en;2020-10-23 1:29:22;Pq hj tem menos gente comentando aqui ? Tinha dia q era uma loucura aqui.;;2;0;emanuelmedeiro
5121286839;8245038220;lg;2020-10-23 2:19:47;"A frase do Kaidou sobre se deixar ser morto (desejo antigo dele), reforça porque o personagem não parece ter preocupação alguma em desviar dos ataques inimigos.


Por fim, a turminha que tá indo pro telhado tá interessante. Law e Kid devem aparecer por lá também, estarem sumidos só reforça que estão fazendo seus próprios movimentos pra chegar lá.";;22;1;ShinoNaro
5121297068;8245038220;en;2020-10-23 2:27:05;Vai sair amanhã? SAB? DOM?;;3;0;nicolasleonsilvadossantos
5121551870;8245038220;lg;2020-10-23 8:47:17;Oda realmente n gosta do sanji ,humilha o cara direto kk;;19;18;disqus_uB6P6NQLQ9
5121599232;8245038220;en;2020-10-23 10:10:29;"<b>MINAMOTO!(o cara dos pregos na cara). O nosso ""Stan Lee"" do One Piece apareceu dnv.</b>";;12;2;nicolasleonsilvadossantos
5121604405;8245038220;en;2020-10-23 10:18:42;Essa cena da o-kiku me lembrou FMA-Brotherhood, a garota que arrancou o próprio o braço pra escapar do homúnculo.;;19;1;nicolasleonsilvadossantos
5121638148;8245038220;lg;2020-10-23 11:06:31;"Vou evitar comentar tudo que quero antes do capítulo realmente sair, mas que capítulo, hein?! Começa com a esperança do povo do país, e termina com o desespero dos heróis desse povo. 



E agora que tem um mapinha pra mostrar onde o Luffy e seu grupo de subida estão, a cada capítulo veremos o avanço e os desafios que deve ter em cada andar. Sanji vai criar uma rivalidade não só com Zoro, mas com Jinbe também? Isso é bom, a entrada dele pode motivar os dois a quererem mais destaque ainda. E Jinbe como o personagem que é novo, vai ser um dos que vai mais brilhar. Afinal é o primeiro arco dele como membro oficial.";;36;1;ShinoNaro
5121779595;8245038220;lg;2020-10-23 13:36:18;King já quer preparar um Refém para o Kaido dos cem Reféns.;;24;2;fbiojosmesquita
5121785633;8245038220;en;2020-10-23 13:41:29;qual o problemas do oda com braços?;;31;0;deversonrafael
5121810660;8245038220;lg;2020-10-23 14:02:46;Jutsu q absorve ataques e agora balas q transformam pessoas em demonios de gelo ! Oda quer introduzir novos poderes sobrenaturais  além do haki e das akumas no mi a essa altura do campeonato ? Ou ele esta apenas jogando essas habilidades pra compor a narrativa,sem ter a necessidade de explicar como funciona?E kaido dizendo q nunca haverá um samurai como Oden ,só reforça a minha ideia de q Zoro vai mudar esse pensamento do dragão;;16;0;disqus_uB6P6NQLQ9
5121812210;8245038220;lg;2020-10-23 14:04:05;Acho que a referencia ao sete é 7 andares que faltam para o Luffy chegar no telhado. E Sete Bainhas Restantes. Kappa e O Kiko derrotados, Alguém acha algo diferente?;;9;1;fbiojosmesquita
