id;thread;interpretant;created_at;message;media;likes;dislikes;author_user
5057513266;8187418337;em;2020-09-04 8:44:41;Agora vai começar a porradaria! Esse final de capítulo foi incrível!!!!;;1;0;jo_o_bonatto
5057514184;8187418337;em;2020-09-04 8:46:28;O olho chegou a brilhar com a frase do Luffy na ultima pagina kkkk;;1;0;mcldarknes
5057515108;8187418337;em;2020-09-04 8:48:10;"""Bom, só temos que subir"" - Roronoa, Zoro, easy kkkkkk";;3;0;mcldarknes
5057516018;8187418337;lg;2020-09-04 8:49:49;O cap não mostrou nada la de cima e o luffy não conseguiu chegar.... será quando o luffy chegar la em cima vai ver todos os bainhas e minks derrotados? E talvez esse seja o final trágico do ato 3?;;0;0;hphphphph
5057517207;8187418337;en;2020-09-04 8:52:06;Eu desisto de fazer teoria;;1;0;jhonata_lopes
5057517769;8187418337;em;2020-09-04 8:53:01;robin jinbe tao flertando dms parem com isso ksksksk;;3;1;disqus_6qCt894r7A
5057518165;8187418337;em;2020-09-04 8:53:50;"Mitagens a milhão, Porradaria sem limites!
Finalmente um arco de destruição com todos os chapéus de palha botando pra f@$&.
Vem monstro, vem monstro! Kkkk 
O Oda é phoda!";;1;0;marcosroberto21
5057520554;8187418337;em;2020-09-04 8:58:19;Um capítulo cheio de cenas incríveis, Franky botou o pau na mesa e mandou medir!!!! A interação dos meus Chapéu de Palha ao extremo!!!!! Amei;;5;0;fernandochristopher
5057522084;8187418337;en;2020-09-04 9:01:19;<b>CADEEE CARROT NA ULTIMA PAGINA????????</b>;;3;1;igormartinsdemelo
5057522707;8187418337;lg;2020-09-04 9:02:29;"1 ato teve 16 capítulos, 2 ato teve 30 capítulos e hoje neste capítulo fez 31 capítulos do 3 ato. Provável que ele esteja perto de acabar com 40 capítulos no capítulo 1000.

O 4 ato provavelmente será o maior de todos e terá por volta de 40/50 capítulos (será o ato da guerra e das lutas) e por fim o 5 ato deverá ter apenas uns 7 capítulos. Prevejo Wano terminando pelo capítulo 1050";;3;0;disqus_CSMvZpuLoI
5057522806;8187418337;em;2020-09-04 9:02:38;A última pagina e uma das melhores da história d One Piece;;2;0;disqus_UhPVSqrqUO
5057524477;8187418337;em;2020-09-04 9:05:51;O mais legal de Op com certeza é a interação entre os chapéus de palha , e ver esse bando está evoluindo é muito foda;;2;0;geniltonjunior
5057526133;8187418337;em;2020-09-04 9:08:57;Até o Queen se surpreendeu quando viu o zoro no segundo andar , Zoro é o Ronaldinho gaúcho de one piece , só rolê aleatório kkkkkkkkkk;;17;0;geniltonjunior
5057529753;8187418337;em;2020-09-04 9:15:46;Franky só disse fatos ali,fodase os yonkous nós vamos fazer o luffy o rei dos piratas krl;;5;0;disqus_y1JY5kcZoB
5057529965;8187418337;lg;2020-09-04 9:16:09;"Daq a pouco chega os cara dos  ""niveis"",falando q o capitulo foi ruim pq a big mom apanhou kkkk,";;6;0;disqus_uB6P6NQLQ9
5057533075;8187418337;em;2020-09-04 9:22:00;Que quadro esse do final, eita porra, mugiwara no ichimi;;2;0;disqus_CGVWC0Z0VP
5057533801;8187418337;lg;2020-09-04 9:23:22;A big mom é o personagem mais patetico de one piece, nem parece que é uma yonkou com tanta historia, nao gosto dela nem do design dela, bem que ela podia ser igual era antigamente, magra, alta e super forte, ela ta mais pra alivio comico do q pra uma imperadora;;0;2;jooifod
5057533868;8187418337;lg;2020-09-04 9:23:29;Acho que os aliados vão receber a ajuda do Law e Kid na luta contra os Tobiropo.;;0;0;TorcedorAzulino
5057534186;8187418337;lg;2020-09-04 9:24:05;No final do arco vai ter uma pagina igual essa do final, mas com Yamato-Oden;;0;0;arthurvinsmoke
5057534899;8187418337;em;2020-09-04 9:25:30;big mom devia entrar num circo;;4;0;kyojindragon
5057536148;8187418337;em;2020-09-04 9:27:50;Jimbe mito no Judô, slk;;4;0;disqus_i786J4zZFf
5057536917;8187418337;en;2020-09-04 9:29:12;Por favor... Alguem faça uma arte com essa ultima pagina colorida kkk merece fazer até um quadro;;6;0;disqus_xlW3k53REo
5057538368;8187418337;em;2020-09-04 9:31:49;Que última página linda quanto tempo faz desde a última vez ?;;2;0;joaogabrielcanella
5057538685;8187418337;em;2020-09-04 9:32:22;"Essa última página no anime ficará épica!! Luffy pedindo cobertura e todos em uníssono dizendo SIM!!!! E vindo o ""TO BE CONTINUED"".....
Mal posso esperar!!!!";;3;0;disqus_UVXzEZHqJd
5057539946;8187418337;em;2020-09-04 9:34:44;O Franky matou nesse capítulo foda-se a yonkou pode nos matar vamos transforma O Luffy no Rei dos piratas.;;5;0;disqus_gCKVW9uRQk
5057540670;8187418337;lg;2020-09-04 9:36:00;Quem não apareceu ainda em lugar nenhum foi o Drake, daqui a pouco a Marinha brota;;2;0;geniltonjunior
5057540741;8187418337;en;2020-09-04 9:36:07;"Mano, vou tatuar essa última página! Que momento meus amigos, que momento! 
Franky é foda! Tava sentindo falta dele mostrando o quanto é forte igual quando conheceu o bando, saindo no soco com o Luffão. Peitou a Big Mom e ela trancou o c# que não passava nem pensamento quando viu o Radical Beam apontado pra ela kkkkk.";;4;0;disqus_ziGwhlvPBl
5057541291;8187418337;lg;2020-09-04 9:37:05;"Nossa, como acho essa Yamato ridícula e sem personalidade, com essa parada de ""Ai, eu sou Oden, eu sou Oden mi-mi-mi"" (já disse isso antes). Não qro vê-la entrando no bando ¬¬";;4;4;murilo_d_sales
5057542664;8187418337;en;2020-09-04 9:39:31;"que maravilhoso viver na mesma época em que one piece está sendo publicado 

bom demais caras, arrepiei no quadro do bando reunido";;9;0;biancabalido
5057543736;8187418337;lg;2020-09-04 9:41:16;Rpz, to achando que quando mostrarem dnv a luta dos bainhas com o kaidou, já vai ser meio que com eles todos derrotados, e geral sem entender nada. Aí vai ter aquele mini-flashback explicando como eles perderam assim, tipo quando o law aparece “morto” contra o doffy, ou quando o ceasar apaga geral tirando o oxigênio do lugar. Acho que quando chegar nessa cena, o ato 3 termina.;;10;0;disqus_5HQ4VuN9df
5057544698;8187418337;em;2020-09-04 9:43:00;FINALMENTE 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻;;0;0;martin_reis
5057544995;8187418337;lg;2020-09-04 9:43:30;Zoro x big mom 1000% confirmed ... Vai cortar o barato da veia  ...( Levem na zueira);;4;1;disqus_zLw8UlgC0M
5057546634;8187418337;lg;2020-09-04 9:46:36;O trio monstro era e sempre será luffy zoro sanji, olha as falas, do último quadro;;2;1;disqus_LFq5gttfrw
5057550200;8187418337;lg;2020-09-04 9:52:55;"Tem um povo que reclama do escárnio que estão fazendo com a Big Mon, mas vocês deviam saber que para ser considerado um Rei dos Piratas, Yonkou é só mais um empecilho
Né Franky?

Franky : Auuu, isso mesmo maninho";;4;0;RafaelSaraivaSousa
5057551343;8187418337;lg;2020-09-04 9:54:59;"E o pessoal se vangloriando do Sanji ""lutando"" com o King. O cara tá tava todo cagado no chão.";;1;3;disqus_MhugJRcWcM
5057551517;8187418337;lg;2020-09-04 9:55:16;"Pelo que entendi nao foi só o bando que falou ""sim, deixe conosco!"" E sim todos os aliados no local... seloco no anime essa cena vai ser incriveeeel";;0;0;jo_o_goes
5057552941;8187418337;em;2020-09-04 9:57:41;"Vocês: ""Ownt, todos os Mugiwaras reunidos!""
Eu: ""<b><u>CHUPA CARROTBOYS!</u></b>""";;2;1;morgansbignews
5057552970;8187418337;em;2020-09-04 9:57:44;Meu amigo, eu quero esse quadro dos mugiwaras colorido na minha mesa pra ontem kkkkk;;2;0;disqus_SkpMSKU2Ta
5057552987;8187418337;en;2020-09-04 9:57:46;Cadê a Carrot no quadro do grupo? Vou dropar depois dessa.;;1;0;disqus_YlKq1qod3l
5057555885;8187418337;lg;2020-09-04 10:02:43;"Franky, Jinbei, Robin, Brock X Big Mom
Zoro, Luffy X King 
Sanji X Queen 
Numbers X Usopp, Nami, Chopper 

CONFIRMADO!";;0;0;joaorodrigobukx
5057556783;8187418337;lg;2020-09-04 10:04:18;"Nada melhor que não acompanhar os spoilers!!!

- Big Mom não perdeu a memória! Para quem achou que seria uma humilhação para uma Yonkou, Oda-Sama ouviu suas preces! 
- Franky simplesmente é fantástico. O cara chega ""causando"", desafia uma Yonkou, honra o seu capitão, e protege mocinhas. Te amo, seu hentai!
- E esse combo ""Mature"" Robin-Jimbei? É impressionante esse feeling de Mugiwara que o peixão possui. O coroa é FODA!  Yamato e/ou Carrot precisam comer muito arroz e feijão.
- Uma das previsões se confirmou: A abertura atual do anime nos adiantou uma reunião do bando contra a BM junto do King e Queen! Zoro e Sanji podem pegar essa dupla de calamidades! Rivais contra Rivais!!
- Bando vai descer o sarrafo!!! 

VAI TER MANGA na próxima semana!!!! 
NEM A QUARENTENA PARA O HOMEM! AHAHA";;10;0;disqus_3bZPnUnyTt
5057557728;8187418337;lg;2020-09-04 10:06:01;"Então Oda não criou os numbers apenas para serem bucha de canhão. Além de pedra no sapato eles tem a função de instigar o mistério da gigantificação iniciada por Vegapunk.

Manooooo que lindo ver o bando reunido e finalmente com Jimbe ali entre eles kkkkk 

E Jimbe é forte pra pouha velho, que adendo incrível. Se Jimbe fosse um dos shishibukais inimigos antes do novo mundo, Luffy seria derrotado fácil. Jimbe só não deve ser mais forte que Mihawk que dispensa luta com Yonkou por estar sem braço kkkk

Agora que eu vi kkk Jimbe e Zoro do lado de Luffy kkk incrível e maravilhosa visão. Jimbe mal chegou e já sentou na janela kkkkkkk";;0;1;disqus_q5Eze5SU0S
5057557760;8187418337;em;2020-09-04 10:06:05;duraço com essa ultima imagem;;0;0;KingStonex5
5057557904;8187418337;lg;2020-09-04 10:06:20;Frank ensinando a Nami a ser gente, mina inútil demais;;1;4;disqus_MyEDuVISlH
5057557961;8187418337;lg;2020-09-04 10:06:25;"O Luffy só que o Kaido, porque o Kaido foi o unico Yonkou que deitou ele em um hit, nem a BM fez isso, por isso ele não está interessado nela.

Só achei tosco o Zoro olhar para um comandante Yonkou e mandar um foda-se, isso e tosco demais.";;1;1;pedrobolognato
5057559372;8187418337;en;2020-09-04 10:08:53;SHINOBU, SAI DAÍ, FOGE, FOGE DA LOUCA!!;;2;0;disqus_oJBYiNpi6M
5057561358;8187418337;lg;2020-09-04 10:12:23;Zoro querendo ir acompanhar o Luffy na batalha contra o kaidou.....sei não hein, tá me parecendo que um chifre vai ser cortado;;8;0;MrL113
5057561634;8187418337;lg;2020-09-04 10:12:48;Agora sim esse é um Bando de um futuro Rei dos Piratas, com Franky Xogun ele sim tem como enfrentar a Big Mainha de frente👏🏽👏🏽👏🏽👏🏽👏🏽;;5;0;rafaeljcosta
5057561702;8187418337;em;2020-09-04 10:12:55;"Krl, que moral da poha que o Franky botou nesse capítulo, chamou a Big Mom de ""Bruxa Velha"", nossa mt foda mano";;5;0;zandersama
5057561931;8187418337;lg;2020-09-04 10:13:20;"taq pariu olha essa merda de titulo, nn tem como essa porra de invasão da certo.

also, yamato pedofila 👍";;0;4;disqus_t2Xq0OD7tE
5057564135;8187418337;em;2020-09-04 10:17:01;Eu consigo imaginar essa última cena com Overtaken no anime, e seria perfeito d+++;;2;0;helisondvilar
5057567117;8187418337;lg;2020-09-04 10:22:05;"Todo mundo subestimava Sanji dizendo que ele não tinha nem um nível de um Jack, mas agora levou um ataque super poderoso da calamidade mais forte e saiu de boas. Não tá pior que o Luffy e Zoro. Espero muito que ele derrote Queen e desperte o haki avançado nessa luta e que seja também uma batalha de resistência. O traje ou a pele imprenetavel do dinossauro. Falando do Franky: FODA! Amo o Franky desde o começo e ele merecia esse destaque. O trio ""covarde"" tem que aprender com os outros do bando que não se deve temer uma mera Yonkou. Sobre ela... Acho plausível o que está acontecendo. Isso é One Piece. Com certeza ela ainda irá ser bem aproveitada. O que eu quero mesmo e que o bando dela e principalmente Smoothie mostre seu poder, afinal, é lógico que ela seja mais forte que Cracker e um nível superior ao gear 4 de Luffy daquele arco. O que é bastante poderosa. Acho que daria pra ter uma luta dela com as duas Tobbi Ropo ou Hancook se ela aparecer, mas acho que Boa é forte demais pra ela.";;0;0;disqus_QnIZIuR3G4
5057568335;8187418337;em;2020-09-04 10:24:07;1° Raud: king vs Sanji resultado king venceu;;1;0;disqus_ONo76iKyQB
5057568671;8187418337;lg;2020-09-04 10:24:40;Esse último quadro lembra quando mostrou o bando do Barba Branca e do Shanks na guerra dos melhores. Na frente estão os três comandantes do bando, zoro, sanji e jinbei, ficou muito foda.;;0;0;disqus_NUV94NL6gK
5057569333;8187418337;em;2020-09-04 10:25:47;kkkkk carrot bateu a foto;;22;0;disqus_EaJwFRA00K
5057569369;8187418337;en;2020-09-04 10:25:50;peraa.... kde o (criança) e  law???;;0;0;disqus_kPWQDFSfRK
5057570236;8187418337;lg;2020-09-04 10:27:15;"Big mon ainda vai fazer um estrago, esses 2 capítulos só deixarem ela puta 
[";;4;0;thiago_nasser
5057571034;8187418337;lg;2020-09-04 10:28:35;Então vai ser Zoro e Sanji VS King e Queen;;5;0;disqus_phh3rOAU8w
5057571322;8187418337;em;2020-09-04 10:29:01;A ultima pagina da um belo Wallpaper;;6;0;marcelcarlosmachadobarbosa
5057572452;8187418337;em;2020-09-04 10:30:46;Zoro perdido aparece ao lado do Queen e o Queen só percebeu logo depois que o zoro estava ali kkkkk pqp;;6;0;disqus_7RAk6ktNwm
