id;thread;interpretant;created_at;message;media;likes;dislikes;author_user
5130439298;8254632139;en;2020-10-30 2:03:07;E já temos o mangá na quinta-feira.;;7;0;emanuelmedeiro
5130440885;8254632139;lg;2020-10-30 2:05:10;Sanji ficou com ciúmes, pq ninguém falou o nome dele kkkkkkk. O Oda vai fazer o Zoro corre atrás do Apoo por uns dez capítulos, antes de encarar o Kaido.;;126;0;emanuelmedeiro
5130448254;8254632139;lg;2020-10-30 2:14:17;eu, filho de nico robin, também me chamo oden! adorei o capítulo. enquanto dizem que está raso, eu mergulho cada vez mais na profundidade dessa história, teorizando e buscando respostas. queen já tem a vacina, será que cura covid? estamos precisando!!! brincadeiras à parte, me emocionei muito com a cena traduzida da nossa samurai kikunojo :'(... uma pena que esse kaku 2.0 apareceu tão rápido. fiquei imaginando como ele anda KKKKKKKK bizarro demais. eu confesso que tinha me iludido um pouco com sasaki quando ele ficou chateado pelo fato de denjiro ter prendido ele... mas foi algo passageiro. ele já está a postos pra cumprir seu papel. também estou triste por ver shinobu detonada desse jeito. gosto dela e espero que se torne a 10ª bainha! ela merece... e, por último, mas não menos importante: yamato, entenda, vc é incrível! lendário demais. obg, opex!;;68;4;disqus_TCiyec2JS6
5130466905;8254632139;em;2020-10-30 2:37:50;"MANOOO A HISTÓRIA DE CAPA DO CAPONE ACABOU kkkkkkk to nem acreditando nisso.. e agora voltaremos com os pedidos de capa feito pelos fãs ? Voltaremos a ver os pedidos de capa do Noda Skywalker kkkk

Achei que O-Kiku estaria fora de combate, mas me surpreendeu e eu to feliz demais por ela ter voltado a batalha mesmo sem um braço kkkk melhor Bainha !!

Ainda não consigo gostar do Yamato,mas não odeio ele só não consigo ver motivos para achar ele tão foda quanto dizem kkk mas espero que ao menos de um bom 1 X 1  contra o Sasaki !!";;92;1;disqus_XQ4Ksfs1de
5130511787;8254632139;em;2020-10-30 3:41:20;"Ótimos momentos da Kiku e do Yamato. Capítulo saindo cedo, uma ótima maneira de acabar o dia.

Sério Queen, um battle royale justo agora ? https://media1.giphy.com/media/403NRxgdScOUQjiQEh/giphy.gif";{'thread': '8254632139', 'resolvedUrl': 'https://media1.giphy.com/media/403NRxgdScOUQjiQEh/giphy.gif', 'thumbnailUrl': '//a.disquscdn.com/get?url=https%3A%2F%2Fmedia1.giphy.com%2Fmedia%2F403NRxgdScOUQjiQEh%2Fgiphy.gif&key=bG0uZz4gKYGJdguF27Ivew', 'htmlWidth': None, 'id': 74450816, 'thumbnailWidth': 0, 'title': 'Bravo Tv No GIF by Slice - Find & Share on GIPHY', 'htmlHeight': None, 'mediaType': '1', 'html': '', 'location': 'https://media1.giphy.com/media/403NRxgdScOUQjiQEh/giphy.gif', 'type': '1', 'metadata': {'create_method': 'preview', 'thumbnail': '//a.disquscdn.com/get?url=https%3A%2F%2Fmedia1.giphy.com%2Fmedia%2F403NRxgdScOUQjiQEh%2Fgiphy.gif&key=bG0uZz4gKYGJdguF27Ivew'}, 'urlRedirect': 'https://disq.us/url?url=https%3A%2F%2Fmedia1.giphy.com%2Fmedia%2F403NRxgdScOUQjiQEh%2Fgiphy.gif%3AfB8En_zestcOFfGj2SuApDur2WU&cuid=3902241', 'description': 'Discover & share this Slice GIF with everyone you know. GIPHY is how you search, share, discover, and create GIFs.', 'post': '5130511787', 'thumbnailURL': '//a.disquscdn.com/get?url=https%3A%2F%2Fmedia1.giphy.com%2Fmedia%2F403NRxgdScOUQjiQEh%2Fgiphy.gif&key=bG0uZz4gKYGJdguF27Ivew', 'providerName': 'GIPHY', 'forum': 'onepieceex', 'url': 'https://media1.giphy.com/media/403NRxgdScOUQjiQEh/giphy.gif', 'resolvedUrlRedirect': 'https://disq.us/url?url=https%3A%2F%2Fmedia1.giphy.com%2Fmedia%2F403NRxgdScOUQjiQEh%2Fgiphy.gif%3AfB8En_zestcOFfGj2SuApDur2WU&cuid=3902241', 'thumbnailHeight': 0};60;2;edwarddteach
5130755857;8254632139;lg;2020-10-30 11:09:09;"Alguém mais notou que, Yamato se proclamou ""Yamato"" pela primeira vez? Talvez ele esteja realmente deixando de querer ser Oden e assumindo que é alguém diferente e que só pode fazer algo porque não é Oden. Interessante, acho que devemos ficar de olho nessas mudanças, sobretudo se levarmos em consideração o último capítulo onde Momonosuke se pergunta em desespero o que um Shogun faria e surge Yamato chamando todo mundo para o pau logo após a pergunta... Acho que Oda está querendo nos mostrar algo nas entrelinhas, mas confesso que ainda não sei o que!";;72;0;ErikDoido
5130762428;8254632139;en;2020-10-30 11:18:04;"Minha vez!
https://media3.giphy.com/media/RJwAL5aTEhopZhS1Ms/giphy.gif";{'providerName': 'GIPHY', 'resolvedUrl': 'https://media3.giphy.com/media/RJwAL5aTEhopZhS1Ms/giphy.gif', 'thumbnailUrl': '//a.disquscdn.com/get?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2FRJwAL5aTEhopZhS1Ms%2Fgiphy.gif&key=M5Ao9O5pJnNfuqX3v1jmWw', 'htmlHeight': None, 'id': 74458866, 'thumbnailWidth': 0, 'title': 'One Piece Bite GIF by Funimation - Find & Share on GIPHY', 'htmlWidth': None, 'mediaType': '1', 'html': '', 'location': 'https://media3.giphy.com/media/RJwAL5aTEhopZhS1Ms/giphy.gif', 'type': '1', 'metadata': {'create_method': 'preview', 'thumbnail': '//a.disquscdn.com/get?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2FRJwAL5aTEhopZhS1Ms%2Fgiphy.gif&key=M5Ao9O5pJnNfuqX3v1jmWw'}, 'urlRedirect': 'https://disq.us/url?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2FRJwAL5aTEhopZhS1Ms%2Fgiphy.gif%3AYYm7Z7oNaTtOrneXhwFwH1dh1lc&cuid=3902241', 'description': 'Discover & share this Funimation GIF with everyone you know. GIPHY is how you search, share, discover, and create GIFs.', 'post': '5130762428', 'thumbnailURL': '//a.disquscdn.com/get?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2FRJwAL5aTEhopZhS1Ms%2Fgiphy.gif&key=M5Ao9O5pJnNfuqX3v1jmWw', 'thread': '8254632139', 'forum': 'onepieceex', 'url': 'https://media3.giphy.com/media/RJwAL5aTEhopZhS1Ms/giphy.gif', 'resolvedUrlRedirect': 'https://disq.us/url?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2FRJwAL5aTEhopZhS1Ms%2Fgiphy.gif%3AYYm7Z7oNaTtOrneXhwFwH1dh1lc&cuid=3902241', 'thumbnailHeight': 0};44;0;nicolasleonsilvadossantos
5130799803;8254632139;lg;2020-10-30 12:02:44;"Belissimo capítulo. Felizmente, Sanji e Jinbe deram um fim muito rápido naqueles agoniantes smiles galinha e girafa. Aquilo não poderia existir, deus me livre. 

O Queen e sua arma apelona começaram um jogo meio que não precisava agora. O Apoo certamente concorda comigo, hahaha. Mas o Queen sempre se mostrou meio fascinado por esse tipo de coisa, então não surpreende tanto. O que me surpreendeu, na verdade, foi ele rindo dos pleausers. Aquela cena foi forte pra mim. 

Luffy subiu mais um andar. Se continuar subindo um por capítulo, ele chega no topo no 999. A hype do 1000 deve estar aí. Vai chegar lá e ver todos os bainhas deitados e o Kaido sereno. Vai ser complicado pro Luffy, vai ser complicado.

Parabéns e obrigado pelo trabalho, OPEX.";;107;0;franciscolanferdiniserafini
5130801101;8254632139;em;2020-10-30 12:04:08;Que homem! Esse Yamato é foda demais;;92;7;silviomarcianodsilvajunio
5130881439;8254632139;lg;2020-10-30 13:21:55;Yamato vai repetir a vontade de oden e vai viajar com os mugiwara;;35;1;darlan_ramos
