id;thread;interpretant;created_at;message;media;likes;dislikes;author_user
5065834013;8193790412;lg;2020-09-11 0:02:41;"De acordo com esse capítulo vemos a possível escada até Kaidou.
Primeiro os random / numbers, depois os Tobiroppo seguidos das calamidades BM e por fim o Kaidou.

Acho que pode ser isso, eu não acho que o Luffy vai chegar assim tão fácil no Kaidou.

Só uma opinião... kkkkkk";;1;0;roronoa30
5065836818;8193790412;lg;2020-09-11 0:05:41;"Próximo mugiwara? Drake. Seria bem simbólico se esse cara virasse mugiwara já que é colega do Coby e se lembrou das palavras dele, e Luffy e Coby possuem uma história desde o começo da aventura do Luffy. Seria como ""um presente do Coby por tê-lo ajudado a virar marinheiro"". Seria foda esse simbologismo.";;1;0;disqus_oJBYiNpi6M
5065843650;8193790412;en;2020-09-11 0:12:55;Essa Marinha é uma piada, larga o Drake aí em Wano e ele que se vire kkkk;;2;0;disqus_4A93ExeW4e
5065849412;8193790412;lg;2020-09-11 0:19:17;Eu sei que tem gente que fala que tal personagem vai virar mugiwara. Vimos isso tantas vezes. Eu desde o Jinbe nunca fiquei tão surpreso quanto agora com o Drake. Ele foi abandonado pela marinha, provavelmente nem tripulação tem. Nunca fui de teorizar quem entra pro bando, nem a bosta da Yamato eu fiz isso. Ela simplesmente chega pro Luffy e pede pra ser da tripulação, enquanto a lógica pra virar mugiwara é ser ex-inimigo ou não querer de início seguir com o Luffy.;;0;0;disqus_oJBYiNpi6M
5065851822;8193790412;em;2020-09-11 0:21:59;Que capítulo foda! Um dos melhores de Wano até agr em minha opinião!!;;0;1;Zagan1
5065868408;8193790412;en;2020-09-11 0:39:37;O cara que tem 1% de chance de sobrevivência sem dúvidas vai ter q lutar contra o zoro kkkkkkkk;;0;0;luiz_pugliesi
5065873704;8193790412;em;2020-09-11 0:45:22;"essas porcentagem do hawkins é tão tanto faz
ngm se importa com isso";;6;0;acefllower
5065878701;8193790412;lg;2020-09-11 0:50:42;"Meu personagem favorito de One Piece é o Doflamingo, o que me proporciona olhar a obra com um olhar mais frio em relação aos outros personagens, sendo assim, embora nunca tenha ficado implícito que o Zoro é o imediato do bando, insinuações dentro da obra levam a crer que sim, o Luffy perguntando para o Zoro o que ele faria se ele estivesse no Lugar dele no trem para Enies Lobby, o discurso do Zoro em Water Seven sobre o Ussop voltar para o bando, o apoio ao Luffy após a luta contra o Ussop, a chamada de atenção ao Luffy em Punk Hazard, e a fala do Bartolomeu dizendo que ele é considerado um vice-capitão. 
Então eu acredito que o Zoro seja sim o vice-capitão do bando vulgo imediato, msm que a obra nem o autor deixe isso claro.

Obs: O Oda é bem incoerente em SBS, ele diz que o Zoro é só combatente no bando, mas vale lembrar que em SBS ele também declarou o Sabo morto e depois trouxe ele de volta à vida.";;6;2;disqus_4A93ExeW4e
5065883562;8193790412;em;2020-09-11 0:55:51;Rapaz, eu to aqui impressionado em como o Oda consegue narrar uma guerra com tantos personagens. Acho q galera reclama é pq não consegue acompanhar mesmo.;;9;1;disqus_J5F86FJPL2
5065904729;8193790412;en;2020-09-11 1:19:01;Jack já ta indo pro saco, pelo jeito nada de Sanji VS Jack ou Jinbe vs Jack.;;0;0;fernandohidekitsubota
5065925391;8193790412;en;2020-09-11 1:42:45;Ou galera! E o caribou?;;6;0;disqus_22hQqycYWG
5065933156;8193790412;en;2020-09-11 1:51:07;Se a Big Mom e o Kaidou forem derrotados. Quem reivindicará seus títulos de Yonkou? Teremos 2 vagas.;;12;0;nicolasleonsilvadossantos
5065974413;8193790412;lg;2020-09-11 2:38:51;Caraca Sasaki e Kyoshiro era grandes amigos, prevejo outra tobiroppo traindo;;1;0;tiagoguilardi
5065976152;8193790412;en;2020-09-11 2:40:55;Que horas mais ou menos sai o cap? eu sempre acordo cedo e ele já está lá.;;0;0;wesleySensei
5065987565;8193790412;lg;2020-09-11 2:55:17;Gente, eu estava relendo a parte de Jaya, e vendo o rosto do Doc Q com aquelas tatoos e com cara de sempre doente, pensei se seria possível que ele seja o Yorki, antigo capitão dos Piratas Rumbar (e do Brook)? Tipo envelhecido, doente, com umas tatoo um pouco diferente e tals...;;1;0;scoopergaban
5065988466;8193790412;lg;2020-09-11 2:56:32;Perospero e Marco esquecidos no churrasco. Law, Kid e Killer idem. O que me chama atenção é que aquela aura de invencibilidade em torno da forma Sulong se foi totalmente, né? Jack mal chegou e já deitou vários, tanto que praticamente ele, e não Kaidou, virou o boss que Inuarashi e Nekomamushi irão enfrentar.;;1;4;disqus_yUzX46mWRD
5065993799;8193790412;lg;2020-09-11 3:03:43;Parece que todos os super novas vão virar aliados do Luffy mesmo kkkkkk;;3;1;dougfulll
5066026433;8193790412;lg;2020-09-11 3:50:51;"<b>. Hawkins: “A taxa de sobrevivência de alguém aqui até amanhã é de 1%“.</b>
mano do céu se essa tradução estiver certa, ate mesmo o kaido e big mon tem apenas 1% de chance, pois esse alguém abrange todos ou seja todos vão morrer e tem apenas 1% de 1 alguém sobreviver, oque poderia causar uma reviravolta onde todos vão morrer? me fez lembrar de enies lobby com a marinha chegando com o buster call, sera barba negra chegando com uma arma ancestral?? ou quem sabe a marinha?? essa tradução ainda deve sofrer alteração pois abriu espeço pra mt especulação";;4;2;disqus_dqUHuxpFnZ
5066028351;8193790412;en;2020-09-11 3:53:59;galera não é por nd n, mas ultimante venho percebendo, que aqui niguem pode falar algo ou expressa uma opnião, que as pessoas ja vão em massa metendo o dedo no deslike kkkkkk acho engraçado isso.;;23;22;disqus_30pUqHkLB1
5066082519;8193790412;lg;2020-09-11 5:31:54;"Então depois de Carrot e Yamato agora o Drake vai se o mais novo membro da tripulação. Confirnado.
A zoan que faltava.";;4;0;terminatorofdiscordia
5066083844;8193790412;en;2020-09-11 5:34:31;Toda quinta é f5 na veia;;1;0;josalbertodosreis
5066091376;8193790412;en;2020-09-11 5:49:53;"<b>RECEITA DO DIA, ""ODEN!""

Ingredientes:

1 nabo inteiro
2 cenouras cortads cada uma no meio
4 ovos inteiros cozidos
1 pacote de tikuwa cortado no meio cada um
1 pacote de kamaboku cortado em 4
1 pacote de ague
1/2 pacote de mochi
4 inhames médios descascados e inteiros
1 pacote de koyaku cortado em 4
1/2 xícara (chá) de shoyu
5 colheres (sopa) de açucar
1 pacote de hondashii
2 colheres(sopa) de mirin
sal a gosto
palitos de dente
1 1/2 litros de água mais ou menos
---------------------------------------------------
Modo de Preparo:

NABO:
Corte os nados em rodelas grandes e nos cantos passe a faca retirando uma pequena tira, para aredondá-los, pois assim pegam mais gosto
AGUE:
corte os agues no meio e em cada pedaço coloque 1moti cortado no meio e feche com um palito de dente.
PREPARO:
Uma panela de pressão com água coloque o hondashi, e em seguida, coloque o nabo, a cenoura, o inhame, o koyaku, o kamaboku e o tikuwa. e deixe cozinhar por 30 minutos, e então abra a panela de pressão, e acrescente o ague, o ovo cozido, as 2 colheres de mirin, a 1/2 xícara de shoyu, as 5 colheres de açucar e o sal e deixe por mais 10 minutos com a panela destampada, ou até o ague ficar mole, e então sirva.

PS: Por esse post vc ñ esperava! =)
</b>";;10;1;nicolasleonsilvadossantos
5066170097;8193790412;en;2020-09-11 8:21:30;Não paro de rir do Drake. Mais um supernova rebaixado kkkkkkkkkkk;;0;0;mcldarknes
5066209664;8193790412;en;2020-09-11 9:33:52;ta na hora do cap sair.;;2;0;kyojindragon
5066211054;8193790412;en;2020-09-11 9:36:20;Vão dormir;;1;0;disqus_rRfLEKw7uw
5066214639;8193790412;en;2020-09-11 9:42:26;Bom dia bebês! Hoje vou ter que ler no trabalho hehehe;;4;0;geovana57
5066216395;8193790412;en;2020-09-11 9:45:31;"Cade o capitulo? ;-;";;3;0;disqus_vGuNRlCfCE
5066223774;8193790412;en;2020-09-11 9:58:38;Aconteceu alguma coisa com a tradução?;;4;0;saveirorebaixadocomrodacromada
5066224597;8193790412;en;2020-09-11 10:00:04;Cadê esse capitulo ... tô ansioso;;6;0;juanpablorodriguesdesouza
5066233437;8193790412;en;2020-09-11 10:14:38;...........................Nada ainda😑;;4;0;disqus_nbpxa6eKKn
5066236387;8193790412;en;2020-09-11 10:19:35;Muito tempo nessa industria vital isso nunca aconteceu comigo!;;6;0;disqus_nbpxa6eKKn
5066239987;8193790412;em;2020-09-11 10:25:19;x-drake novo membro do Chapéu de palha 100% confirmado.;;3;0;disqus_IY0nwecESm
5066240001;8193790412;lg;2020-09-11 10:25:20;"O Hawkins vai fazer uma coisa que vai acabar com os Tobiroppo, usar os pregos de Kairoseki, ele só está esperando o momento certo para isso, já que ele não pode faze nada contra o Law que possui o coração dele.

Se é uma guerra mesmo e pessoal tem que acabar o mais cedo possivel e só fazer isso, nenhum deles AKumado transformaria e seria fácilmente derrotado. 

Ai cairia por algo o nivel de força do bando do Kaido~

O Queen fala uma coisa dessa na frente do Hawkins e engraçado.
Queen: Mesmo que minhas torturas possam arrancar corações? Muhaha";;1;0;pedrobolognato
5066250412;8193790412;em;2020-09-11 10:41:08;xdrake peidou na farofa e foi correndo pro luffy kkkkkk;;3;0;thiago_macario
5066251114;8193790412;en;2020-09-11 10:42:09;Sacanagem, anunciaram no insta, só domingo o manga!! :(;;1;0;disqus_kngpQAREYS
5066261892;8193790412;em;2020-09-11 10:57:37;"pay-tan e ult-chan retornaram, ""nosso"" casal.";;4;0;disqus_ODvRI9LVH9
5066262717;8193790412;lg;2020-09-11 10:58:43;O Hawkins só vai ajudar o Luffy quando as cartas dele derem 50% dele vencer o Kaidou.;;6;0;davi_lau
5066264043;8193790412;em;2020-09-11 11:00:41;achei foda o drake pedindo pra lutar ao lado da aliança, bora hawkins só falta você cara;;3;0;gildesonreis
5066266767;8193790412;lg;2020-09-11 11:04:39;hawkins lançando uma chuva de pregos já solava metade das feras;;0;0;gildesonreis
5066268957;8193790412;en;2020-09-11 11:07:40;"Mais uma sexta-feira com lágrimas nos olhos e um grito de ""CARALHO!!!"" One Piece <3";;1;0;disqus_4qdAZtixaj
5066269365;8193790412;em;2020-09-11 11:08:11;"Saberr!!!
---EX-caliburrr!!!!!!";;3;0;disqus_5hMsAA7BZP
