id;thread;interpretant;created_at;message;media;likes;dislikes;author_user
5084178072;8212005340;lg;2020-09-25 0:04:06;"Sanji deu 1 chute na canela do Verga e a perna dele trincou
Sanji deu 1 chute na canela do King e nada aconteceu
Vergo >>>>> King

levem na zoeira";;3;0;feliperangell
5084178115;8212005340;lg;2020-09-25 0:04:09;"Já sabiamos que para a aliança vencer dois Yonkous ao mesmo tempo, eles precisariam ser nerfados

Mas o Oda fez um sair rolando que nem um saco de bost@ e outro ter pele de seda

dosa ae Oda";;6;3;Thanosdetita
5084178306;8212005340;lg;2020-09-25 0:04:22;Criticar o fato de Jack x Minks ter sido em off eu acho válido demais. Agora, querer reclamar de um ferimento que vcs nem viram o quadro pra tirar suas próprias conclusões é desonesto pra caralho...;;6;0;sirroblucci
5084178424;8212005340;lg;2020-09-25 0:04:30;Galera, onde é que o Kin'emon está solando o Kaido que eu perdi??? No máximo, só vi ele cortando o Boro Breath do Younkou, só isso. :/;;1;0;disqus_9gD5gDY6Ew
5084181301;8212005340;lg;2020-09-25 0:07:38;Eles têm de ser derrotados, tudo pode acontecer e kaido nem está ainda em modo hybrid. Relaxem;;0;0;patrickbrasco
5084181432;8212005340;lg;2020-09-25 0:07:47;eu n entendi pq o Oda diz q a Enma foi a unica espada q feriu o Kaido, a cicatriz n está em formato de X?;;2;0;feliperangell
5084185079;8212005340;lg;2020-09-25 0:11:56;O Barba Negra que  quer só a vida eterna vai querer a fruta da BM. Com tantas frutas poderosas em Wano e com as AnM da invisibilidade e da nova caldas despertadas, o BN vai aprontar e pegar mais uma fruta top nesse arco!;;0;0;disqus_zpS7yXVWdq
5084187750;8212005340;lg;2020-09-25 0:14:46;Se kin fosse protagonista ele se tornaria rei dos piratas em 1 ano.;;5;0;disqus_75W6GXqV3Z
5084190171;8212005340;lg;2020-09-25 0:17:25;Era esse o cara que iria matar o Barba Branca em Marineford? O Ruivo sempre salvando os fracos. kkkkkkkkkkkkkkkkkkkkkkkkkkkkk;;5;0;nadsonhenrique
5084190237;8212005340;lg;2020-09-25 0:17:29;O pessoal reclamando sendo que nem viram a página com o corte que o kin fez para tirar suas conclusões;;1;0;disqus_QeCczk8dty
